1	b'@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX'
0	b"It's a good thing @apple has not came out with an iCar because I would be in line for one and im sure it would be expensive"
0	b'#SteveJobs memorial at the Leawood @Apple store. http://t.co/UVgb05G6'
0	b'#iMessage is here wid iOS5 RIP #BBM @cultofmac @apple'
0	b'@_alastair w/ respect, the old alternatives were talking to a computer in india or the geek squad. @apple does a pretty great job.'
0	b'#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps'
0	b'iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.'
0	b'RT @carlmilner: RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt ...'
0	b'@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit'
1	b'@apple why is my iPhone battery so crappy #fail'
0	b'Hey @Apple, when did you hire @TheRock to tighten the screws on the bottom cases of your MacBook Pros?  #Ouch #NiceHire'
